Campaign name,Ad set name,Ad name,Day,Age,Gender,Impressions,Reach,Frequency,Clicks (All),Link clicks,CTR (link click-through rate),CPC (cost per link click) (EUR),Amount spent (EUR),Results,Cost per results,Result type
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-24,55-64,Female,1239,,,36,19,1.53,0.36,6.84,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-11,55-64,Male,2326,1343.0,1.73,66,46,1.99,0.36,16.56,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-02,55-64,Female,2168,1663.0,1.3,96,54,2.48,0.48,25.92,2.0,12.96,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-08-31,55-64,Male,1048,555.0,1.89,48,22,2.12,0.32,7.04,1.0,7.04,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-11,65+,Female,1050,547.0,1.92,32,19,1.77,0.47,8.93,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-22,65+,Male,899,454.0,1.98,29,17,1.89,0.56,9.52,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-08,35-44,Male,1212,789.0,1.54,27,19,1.57,0.61,11.59,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-17,45-54,Male,2068,1361.0,1.52,66,34,1.65,0.66,22.44,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-01,65+,Male,1382,759.0,1.82,34,20,1.46,0.47,9.4,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-12,65+,Female,1674,952.0,1.76,42,24,1.41,0.33,7.92,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-23,35-44,Male,2844,1553.0,1.83,80,39,1.38,0.54,21.06,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-10,65+,Female,1229,752.0,1.63,29,18,1.47,0.42,7.56,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-07,45-54,Female,1685,862.0,1.95,68,30,1.79,0.32,9.6,1.0,9.6,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-02,18-24,Male,1345,839.0,1.6,25,17,1.25,0.44,7.48,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-03,18-24,Male,2153,1329.0,1.62,46,30,1.39,0.4,12.0,1.0,12.0,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-14,45-54,Male,2159,1468.0,1.47,59,30,1.41,0.4,12.0,1.0,12.0,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-02,45-54,Female,2309,1337.0,1.73,45,26,1.14,0.45,11.7,1.0,11.7,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-24,18-24,Male,2909,2084.0,1.4,60,33,1.14,0.41,13.53,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-04,25-34,Male,3802,2129.0,1.79,72,50,1.32,0.45,22.5,1.0,22.5,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-17,35-44,Female,2615,1930.0,1.35,71,39,1.48,0.54,21.06,1.0,21.06,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-08-04,35-44,Female,3202,1992.0,1.61,81,56,1.75,0.42,23.52,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-26,65+,Female,766,354.0,2.16,25,12,1.63,0.56,6.72,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-16,25-34,Male,2420,1244.0,1.95,57,32,1.31,0.44,14.08,1.0,14.08,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-25,65+,Male,1331,657.0,2.03,35,16,1.24,0.33,5.28,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-06,25-34,Male,2993,2278.0,1.31,111,53,1.77,0.39,20.67,1.0,20.67,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-25,25-34,Male,4228,1930.0,2.19,62,43,1.03,0.47,20.21,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-29,35-44,Male,2456,1545.0,1.59,83,38,1.55,0.61,23.18,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-05,35-44,Female,4138,2785.0,1.49,126,71,1.71,0.44,31.24,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-27,35-44,Female,1716,1021.0,1.68,75,33,1.94,0.42,13.86,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-08,18-24,Female,2654,1256.0,2.11,41,28,1.06,0.47,13.16,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-17,55-64,Male,1887,1047.0,1.8,30,16,0.84,0.61,9.76,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-03,25-34,Male,2497,1195.0,2.09,83,45,1.8,0.59,26.55,1.0,26.55,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-10,18-24,Female,2962,1531.0,1.93,52,37,1.26,0.38,14.06,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-14,55-64,Male,2792,2033.0,1.37,65,35,1.25,0.38,13.3,1.0,13.3,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-13,25-34,Male,4709,2328.0,2.02,132,64,1.36,0.34,21.76,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-15,35-44,Male,1674,838.0,2.0,30,19,1.12,0.54,10.26,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-17,25-34,Female,2766,1333.0,2.08,94,47,1.71,0.53,24.91,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-18,65+,Male,1249,771.0,1.62,24,17,1.32,0.49,8.33,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-12,55-64,Male,2392,1774.0,1.35,71,40,1.66,0.42,16.8,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-18,18-24,Male,1728,798.0,2.17,43,23,1.35,0.4,9.2,1.0,9.2,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-19,18-24,Male,1044,628.0,1.66,20,10,1.01,0.53,5.3,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-19,55-64,Male,1086,748.0,1.45,16,11,1.05,0.4,4.4,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-24,35-44,Male,2150,1060.0,2.03,82,51,2.37,0.4,20.4,2.0,10.2,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-20,45-54,Male,2079,1459.0,1.42,62,37,1.8,0.5,18.5,1.0,18.5,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-11,18-24,Male,3286,1873.0,1.75,133,68,2.08,0.51,34.68,2.0,17.34,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-06,55-64,Female,2171,1435.0,1.51,85,46,2.1,0.44,20.24,1.0,20.24,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-08-06,18-24,Female,2085,1153.0,1.81,69,37,1.76,0.54,19.98,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-07,35-44,Female,4223,3072.0,1.37,120,74,1.75,0.34,25.16,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-08-11,35-44,Female,3482,1922.0,1.81,62,35,0.99,0.52,18.2,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-08,25-34,Female,2353,1573.0,1.5,68,46,1.97,0.41,18.86,1.0,18.86,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-16,55-64,Male,2356,1075.0,2.19,56,37,1.57,0.49,18.13,1.0,18.13,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-20,18-24,Male,2029,1154.0,1.76,63,37,1.82,0.45,16.65,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-27,65+,Female,1206,585.0,2.06,43,22,1.84,0.58,12.76,1.0,12.76,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-17,18-24,Male,1465,836.0,1.75,46,22,1.48,0.33,7.26,1.0,7.26,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-01,18-24,Female,1122,590.0,1.9,39,22,1.92,0.48,10.56,1.0,10.56,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-20,45-54,Male,3083,1895.0,1.63,80,47,1.54,0.52,24.44,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-03,25-34,Male,4559,2469.0,1.85,159,72,1.58,0.48,34.56,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-17,18-24,Female,2623,1644.0,1.6,73,41,1.55,0.52,21.32,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-23,45-54,Male,2426,1241.0,1.95,74,37,1.51,0.43,15.91,1.0,15.91,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-11,55-64,Male,1690,943.0,1.79,34,23,1.36,0.38,8.74,1.0,8.74,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-31,55-64,Male,1213,587.0,2.07,20,12,1.02,0.51,6.12,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-27,25-34,Female,2486,1353.0,1.84,64,34,1.35,0.47,15.98,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-26,55-64,Female,1759,1314.0,1.34,57,34,1.92,0.48,16.32,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-15,65+,Male,2029,980.0,2.07,37,24,1.2,0.43,10.32,1.0,10.32,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-17,65+,Female,504,375.0,1.34,11,5,1.05,0.41,2.05,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-08-28,65+,Male,1264,580.0,2.18,48,23,1.82,0.4,9.2,1.0,9.2,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-24,65+,Male,1760,1214.0,1.45,62,30,1.68,0.55,16.5,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-08-12,35-44,Male,4155,2763.0,1.5,78,46,1.12,0.4,18.4,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-09,55-64,Male,952,446.0,2.13,20,11,1.17,0.52,5.72,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-15,45-54,Male,2695,1348.0,2.0,60,33,1.23,0.51,16.83,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-10,65+,Female,624,468.0,1.33,23,10,1.54,0.58,5.8,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-29,45-54,Female,1775,934.0,1.9,58,29,1.62,0.6,17.4,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-06,35-44,Male,3146,1431.0,2.2,81,42,1.33,0.39,16.38,1.0,16.38,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-25,45-54,Female,1346,880.0,1.53,49,29,2.16,0.58,16.82,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-08,45-54,Male,2700,1573.0,1.72,131,60,2.21,0.42,25.2,2.0,12.6,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-13,45-54,Female,1932,1104.0,1.75,73,40,2.06,0.48,19.2,1.0,19.2,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-13,55-64,Female,1325,685.0,1.93,40,24,1.81,0.66,15.84,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-28,18-24,Female,1360,907.0,1.5,48,24,1.75,0.57,13.68,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-25,35-44,Female,2798,1312.0,2.13,39,27,0.97,0.54,14.58,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-09,65+,Male,1240,917.0,1.35,52,27,2.2,0.33,8.91,1.0,8.91,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-03,65+,Female,505,280.0,1.8,10,5,1.06,0.47,2.35,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-08-05,45-54,Female,2139,1000.0,2.14,64,28,1.32,0.63,17.64,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-11,35-44,Female,3878,2873.0,1.35,144,75,1.92,0.37,27.75,2.0,13.88,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-25,45-54,Male,2422,1610.0,1.5,66,35,1.43,0.39,13.65,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-08-15,35-44,Female,1401,651.0,2.15,51,23,1.65,0.51,11.73,1.0,11.73,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-23,35-44,Female,2943,1994.0,1.48,63,32,1.08,0.52,16.64,1.0,16.64,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-28,65+,Male,1172,670.0,1.75,36,16,1.39,0.47,7.52,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-06,18-24,Female,2192,1539.0,1.42,39,24,1.09,0.55,13.2,1.0,13.2,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-20,25-34,Male,2189,1106.0,1.98,75,39,1.76,0.42,16.38,1.0,16.38,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-03,45-54,Female,1682,1073.0,1.57,38,23,1.35,0.38,8.74,1.0,8.74,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-08,35-44,Male,2358,1403.0,1.68,81,56,2.37,0.44,24.64,2.0,12.32,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-22,35-44,Female,2933,1941.0,1.51,118,58,1.99,0.36,20.88,1.0,20.88,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-18,18-24,Female,2010,,,64,30,1.48,0.35,10.5,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-08-13,65+,Male,1182,654.0,1.81,36,18,1.5,0.63,11.34,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-08-10,45-54,Female,2089,1187.0,1.76,69,45,2.15,0.56,25.2,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-19,65+,Female,1450,954.0,1.52,29,15,1.05,0.45,6.75,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-04,25-34,Male,1994,1312.0,1.52,69,45,2.25,0.49,22.05,1.0,22.05,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-22,65+,Male,806,,,29,14,1.72,0.61,8.54,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-28,25-34,Female,2016,1307.0,1.54,65,34,1.68,0.41,13.94,1.0,13.94,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-30,35-44,Female,1578,1130.0,1.4,47,28,1.79,0.54,15.12,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-30,55-64,Male,1482,926.0,1.6,42,26,1.75,0.59,15.34,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-08-09,35-44,Female,2271,1242.0,1.83,67,38,1.65,0.52,19.76,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-18,65+,Male,1192,828.0,1.44,35,21,1.72,0.44,9.24,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-22,35-44,Male,3725,2354.0,1.58,136,72,1.92,0.48,34.56,2.0,17.28,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-08,18-24,Male,1862,1370.0,1.36,67,38,2.05,0.54,20.52,1.0,20.52,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-11,55-64,Female,2457,1325.0,1.85,58,41,1.69,0.55,22.55,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-08-14,25-34,Male,3315,1583.0,2.09,104,59,1.78,0.57,33.63,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-10,25-34,Female,1835,1084.0,1.69,47,24,1.32,0.5,12.0,1.0,12.0,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-23,55-64,Male,2531,1515.0,1.67,77,50,1.97,0.33,16.5,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-22,65+,Male,1252,697.0,1.8,35,24,1.93,0.53,12.72,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-01,65+,Male,1393,740.0,1.88,33,23,1.63,0.39,8.97,1.0,8.97,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-26,45-54,Female,2492,1780.0,1.4,93,42,1.67,0.51,21.42,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-14,45-54,Male,2938,1744.0,1.68,99,69,2.35,0.32,22.08,2.0,11.04,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-28,65+,Female,913,684.0,1.33,25,17,1.81,0.54,9.18,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-21,35-44,Male,1314,847.0,1.55,52,28,2.11,0.65,18.2,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-18,55-64,Male,1118,817.0,1.37,28,16,1.41,0.58,9.28,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-25,35-44,Female,1883,1179.0,1.6,37,23,1.23,0.43,9.89,1.0,9.89,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-08-26,35-44,Male,1669,1204.0,1.39,35,22,1.34,0.41,9.02,1.0,9.02,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-08-02,35-44,Female,2569,1590.0,1.62,60,40,1.57,0.5,20.0,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-13,35-44,Female,3849,2212.0,1.74,160,87,2.26,0.49,42.63,3.0,14.21,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-25,65+,Male,1219,673.0,1.81,40,21,1.75,0.36,7.56,1.0,7.56,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-08-18,45-54,Female,1426,723.0,1.97,60,30,2.14,0.39,11.7,1.0,11.7,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-27,35-44,Male,2521,1324.0,1.9,52,27,1.06,0.4,10.8,1.0,10.8,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-16,55-64,Male,2153,1611.0,1.34,63,31,1.45,0.48,14.88,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-26,55-64,Female,1670,792.0,2.11,21,15,0.93,0.42,6.3,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-11,55-64,Female,1561,710.0,2.2,57,30,1.95,0.55,16.5,1.0,16.5,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-30,18-24,Female,2747,1944.0,1.41,76,47,1.7,0.45,21.15,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-13,25-34,Female,1633,1019.0,1.6,26,18,1.1,0.44,7.92,1.0,7.92,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-25,65+,Male,2096,1199.0,1.75,60,38,1.82,0.4,15.2,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-09,25-34,Female,1742,801.0,2.17,51,32,1.86,0.56,17.92,1.0,17.92,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-13,65+,Female,1464,848.0,1.73,52,31,2.11,0.48,14.88,1.0,14.88,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-08,35-44,Female,2080,1090.0,1.91,95,43,2.09,0.38,16.34,1.0,16.34,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-08-06,65+,Male,1566,1106.0,1.42,20,14,0.92,0.34,4.76,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-25,55-64,Male,1418,922.0,1.54,39,19,1.37,0.37,7.03,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-07,35-44,Female,3742,2042.0,1.83,93,48,1.28,0.57,27.36,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-08-25,65+,Female,1080,691.0,1.56,27,14,1.29,0.47,6.58,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-12,55-64,Male,1455,764.0,1.9,38,25,1.69,0.38,9.5,1.0,9.5,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-03,18-24,Male,1053,628.0,1.68,35,21,1.95,0.51,10.71,1.0,10.71,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-16,65+,Male,2062,1365.0,1.51,48,32,1.57,0.5,16.0,1.0,16.0,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-27,65+,Female,1352,618.0,2.19,49,24,1.78,0.44,10.56,1.0,10.56,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-03,35-44,Female,2207,1340.0,1.65,73,50,2.25,0.43,21.5,1.0,21.5,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-21,65+,Male,803,489.0,1.64,21,14,1.73,0.55,7.7,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-16,35-44,Male,2157,1120.0,1.93,60,29,1.32,0.66,19.14,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-22,55-64,Male,2164,1541.0,1.4,45,21,0.99,0.52,10.92,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-16,25-34,Male,2622,1460.0,1.8,75,52,1.99,0.51,26.52,2.0,13.26,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-07,25-34,Male,3383,2494.0,1.36,83,47,1.38,0.61,28.67,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-08-13,25-34,Male,1849,993.0,1.86,36,23,1.27,0.51,11.73,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-06,65+,Female,862,508.0,1.7,19,11,1.3,0.34,3.74,0.0,,Website purchases
