Product_Category,Sub_Category,Product,Age_Group,Total_Orders,Avg_OrdersPerPerson,Avg_OrderPrice
Bikes,"Touring Bikes","Touring-3000 Blue, 58","Young Adults (25-34)",47,1,742
Clothing,Vests,"Classic Vest, M","Seniors (64+)",47,8,64
Bikes,"Road Bikes","Road-650 Black, 58","Youth (<25)",46,1,783
Bikes,"Mountain Bikes","Mountain-500 Silver, 52","Youth (<25)",45,2,565
Clothing,Jerseys,"Short-Sleeve Classic Jersey, L","Seniors (64+)",44,7,54
Bikes,"Mountain Bikes","Mountain-100 Black, 42","Adults (35-64)",44,1,3375
Bikes,"Road Bikes","Road-650 Black, 52","Young Adults (25-34)",44,1,783
Bikes,"Touring Bikes","Touring-3000 Blue, 54","Young Adults (25-34)",44,1,742
Bikes,"Mountain Bikes","Mountain-500 Silver, 44","Adults (35-64)",43,1,565
Bikes,"Mountain Bikes","Mountain-100 Silver, 42","Young Adults (25-34)",42,2,3400
Bikes,"Mountain Bikes","Mountain-500 Black, 48","Adults (35-64)",42,2,540
Clothing,Socks,"Women's Mountain Shorts, S","Youth (<25)",42,11,70
Bikes,"Mountain Bikes","Mountain-100 Silver, 48","Adults (35-64)",40,1,3400
Clothing,Jerseys,"Long-Sleeve Logo Jersey, L","Seniors (64+)",39,20,50
Bikes,"Mountain Bikes","Mountain-100 Black, 38","Adults (35-64)",39,1,3375
Clothing,Vests,"Classic Vest, S","Seniors (64+)",39,10,64
Bikes,"Touring Bikes","Touring-1000 Blue, 46","Youth (<25)",38,1,2384
Clothing,Gloves,"Fender Set - Mountain","Young Adults (25-34)",37,9,22
Bikes,"Mountain Bikes","Mountain-100 Silver, 48","Young Adults (25-34)",35,2,3400
Bikes,"Touring Bikes","Touring-3000 Blue, 44","Young Adults (25-34)",35,1,742
Bikes,"Touring Bikes","Touring-3000 Yellow, 58","Young Adults (25-34)",35,1,742
Bikes,"Touring Bikes","Touring-2000 Blue, 46","Youth (<25)",35,1,1215
Bikes,"Mountain Bikes","Mountain-400-W Silver, 40","Youth (<25)",34,1,769
Bikes,"Mountain Bikes","Mountain-500 Silver, 42","Young Adults (25-34)",34,1,565
Bikes,"Mountain Bikes","Mountain-500 Silver, 44","Young Adults (25-34)",34,1,565
Bikes,"Touring Bikes","Touring-1000 Blue, 54","Youth (<25)",34,1,2384
Bikes,"Mountain Bikes","Mountain-100 Black, 48","Young Adults (25-34)",33,1,3375
Bikes,"Mountain Bikes","Mountain-100 Black, 38","Young Adults (25-34)",33,1,3375
Bikes,"Mountain Bikes","Mountain-500 Silver, 52","Adults (35-64)",33,1,565
Bikes,"Road Bikes","Road-550-W Yellow, 48","Youth (<25)",33,1,1120
Bikes,"Mountain Bikes","Mountain-500 Silver, 48","Adults (35-64)",32,1,565
Bikes,"Touring Bikes","Touring-3000 Blue, 54","Adults (35-64)",32,1,742
Bikes,"Mountain Bikes","Mountain-100 Silver, 42","Adults (35-64)",31,1,3400
Bikes,"Road Bikes","Road-650 Red, 44","Adults (35-64)",31,1,783
Bikes,"Road Bikes","Road-650 Red, 58","Youth (<25)",28,1,783
Bikes,"Touring Bikes","Touring-3000 Blue, 50","Adults (35-64)",28,1,742
Bikes,"Touring Bikes","Touring-1000 Yellow, 60","Youth (<25)",28,1,2384
Bikes,"Touring Bikes","Touring-2000 Blue, 60","Youth (<25)",28,1,1215
Bikes,"Mountain Bikes","Mountain-100 Black, 44","Young Adults (25-34)",27,1,3375
Bikes,"Mountain Bikes","Mountain-500 Black, 44","Youth (<25)",27,2,540
Bikes,"Mountain Bikes","Mountain-500 Silver, 40","Young Adults (25-34)",27,1,565
Bikes,"Touring Bikes","Touring-1000 Blue, 60","Youth (<25)",27,1,2384
Bikes,"Mountain Bikes","Mountain-500 Silver, 52","Young Adults (25-34)",26,2,565
Bikes,"Road Bikes","Road-650 Red, 52","Adults (35-64)",26,2,783
Clothing,Shorts,"Women's Mountain Shorts, M","Seniors (64+)",26,7,70
Bikes,"Touring Bikes","Touring-3000 Yellow, 50","Adults (35-64)",26,1,742
Clothing,Shorts,"Women's Mountain Shorts, S","Seniors (64+)",25,13,70
Bikes,"Touring Bikes","Touring-1000 Yellow, 46","Youth (<25)",25,1,2384
Bikes,"Touring Bikes","Touring-3000 Blue, 50","Young Adults (25-34)",25,1,742
Bikes,"Road Bikes","Road-650 Black, 44","Youth (<25)",24,2,783
Bikes,"Touring Bikes","Touring-3000 Blue, 58","Youth (<25)",24,1,742
Bikes,"Mountain Bikes","Mountain-500 Black, 52","Young Adults (25-34)",23,2,540
Bikes,"Touring Bikes","Touring-3000 Yellow, 44","Youth (<25)",23,1,742
Bikes,"Mountain Bikes","Mountain-100 Black, 38","Youth (<25)",22,1,3375
Bikes,"Road Bikes","Road-250 Red, 52","Youth (<25)",22,3,2443
Bikes,"Road Bikes","Road-650 Red, 52","Young Adults (25-34)",22,2,783
Bikes,"Touring Bikes","Touring-3000 Yellow, 62","Young Adults (25-34)",22,1,742
Bikes,"Road Bikes","Road-650 Black, 62","Youth (<25)",21,2,783
Bikes,"Mountain Bikes","Mountain-100 Silver, 44","Young Adults (25-34)",20,2,3400
Clothing,Socks,"Racing Socks, L","Seniors (64+)",20,10,9
Clothing,Gloves,"Half-Finger Gloves, M","Seniors (64+)",19,5,24
Bikes,"Mountain Bikes","Mountain-500 Silver, 44","Youth (<25)",19,2,565
Clothing,Shorts,"Women's Mountain Shorts, L","Seniors (64+)",19,10,70
Bikes,"Touring Bikes","Touring-3000 Yellow, 50","Youth (<25)",19,2,742
Accessories,"Bike Stands","All-Purpose Bike Stand","Seniors (64+)",18,5,159
Bikes,"Touring Bikes","Touring-3000 Blue, 54","Youth (<25)",18,2,742
Bikes,"Mountain Bikes","Mountain-100 Silver, 38","Youth (<25)",17,1,3400
Bikes,"Mountain Bikes","Mountain-500 Black, 42","Young Adults (25-34)",17,1,540
Bikes,"Touring Bikes","Touring-1000 Yellow, 54","Youth (<25)",17,1,2384
Bikes,"Mountain Bikes","Mountain-500 Silver, 42","Youth (<25)",16,2,565
Bikes,"Mountain Bikes","Mountain-500 Silver, 48","Youth (<25)",16,2,565
Bikes,"Touring Bikes","Touring-2000 Blue, 50","Youth (<25)",16,1,1215
Bikes,"Mountain Bikes","Mountain-100 Black, 42","Young Adults (25-34)",15,1,3375
Bikes,"Mountain Bikes","Mountain-500 Black, 48","Youth (<25)",15,2,540
Bikes,"Road Bikes","Road-650 Black, 44","Young Adults (25-34)",15,1,783
Bikes,"Mountain Bikes","Mountain-100 Black, 42","Youth (<25)",14,1,3375
Bikes,"Touring Bikes","Touring-3000 Blue, 50","Youth (<25)",14,1,742
Bikes,"Touring Bikes","Touring-3000 Yellow, 58","Youth (<25)",14,1,742
Bikes,"Touring Bikes","Touring-3000 Yellow, 54","Youth (<25)",13,1,742
Accessories,"Bike Stands","Hitch Rack - 4-Bike","Youth (<25)",12,3,120
Bikes,"Mountain Bikes","Mountain-100 Black, 48","Youth (<25)",12,1,3375
Bikes,"Mountain Bikes","Mountain-500 Black, 40","Youth (<25)",12,2,540
Bikes,"Touring Bikes","Touring-1000 Blue, 50","Youth (<25)",12,1,2384
Bikes,"Mountain Bikes","Mountain-500 Black, 52","Adults (35-64)",11,1,540
Bikes,"Road Bikes","Road-650 Black, 48","Youth (<25)",11,2,783
Accessories,"Tires and Tubes","HL Mountain Tire","Seniors (64+)",11,6,35
Bikes,"Mountain Bikes","Mountain-100 Black, 44","Youth (<25)",10,1,3375
Bikes,"Road Bikes","Road-250 Red, 48","Youth (<25)",10,2,2443
Bikes,"Touring Bikes","Touring-3000 Yellow, 62","Youth (<25)",9,1,742
Accessories,"Bike Racks","Hitch Rack - 4-Bike","Seniors (64+)",8,2,120
Bikes,"Touring Bikes","Touring-2000 Blue, 54","Youth (<25)",8,1,1215
Bikes,"Road Bikes","Road-650 Black, 52","Youth (<25)",7,1,783
Bikes,"Touring Bikes","Touring-1000 Yellow, 50","Youth (<25)",7,1,2384
Bikes,"Touring Bikes","Touring-3000 Blue, 62","Youth (<25)",7,1,742
Bikes,"Mountain Bikes","Mountain-100 Silver, 44","Youth (<25)",6,2,3400
Bikes,"Mountain Bikes","Mountain-500 Black, 52","Youth (<25)",6,3,540
Bikes,"Mountain Bikes","Mountain-200 Silver, 38","Seniors (64+)",6,1,2320
Bikes,"Mountain Bikes","Mountain-200 Silver, 42","Seniors (64+)",6,2,2320
Bikes,"Mountain Bikes","Mountain-400-W Silver, 38","Seniors (64+)",6,2,769
Bikes,"Mountain Bikes","Mountain-100 Black, 48","Seniors (64+)",6,3,3375
Bikes,"Road Bikes","Road-250 Red, 58","Seniors (64+)",6,2,2443
Bikes,"Touring Bikes","Touring-2000 Blue, 50","Seniors (64+)",6,2,1215
Bikes,"Touring Bikes","Touring-3000 Blue, 44","Youth (<25)",6,2,742
Clothing,Caps,"Water Bottle - 30 oz.","Young Adults (25-34)",4,2,5
Bikes,"Mountain Bikes","Mountain-200 Black, 42","Seniors (64+)",4,1,2295
Bikes,"Mountain Bikes","Mountain-400-W Silver, 40","Seniors (64+)",4,1,769
Bikes,"Mountain Bikes","Mountain-500 Silver, 48","Young Adults (25-34)",4,1,565
Bikes,"Mountain Bikes","Mountain-100 Silver, 42","Youth (<25)",4,1,3400
Bikes,"Road Bikes","Road-650 Red, 60","Youth (<25)",4,1,783
Bikes,"Road Bikes","Road-650 Red, 52","Youth (<25)",4,1,783
Bikes,"Road Bikes","Road-650 Red, 62","Youth (<25)",4,1,783
Bikes,"Road Bikes","Road-150 Red, 62","Seniors (64+)",4,2,3578
Bikes,"Road Bikes","Road-250 Black, 48","Seniors (64+)",4,2,2443
Bikes,"Road Bikes","Road-350-W Yellow, 42","Seniors (64+)",4,2,1701
Bikes,"Road Bikes","Road-550-W Yellow, 40","Seniors (64+)",4,1,1120
Bikes,"Mountain Bikes","Mountain-200 Silver, 46","Seniors (64+)",3,2,2320
Bikes,"Road Bikes","Road-750 Black, 52","Seniors (64+)",3,2,540
Bikes,"Road Bikes","Road-750 Black, 58","Seniors (64+)",3,2,540
Bikes,"Road Bikes","Road-350-W Yellow, 40","Seniors (64+)",3,2,1701
Bikes,"Road Bikes","Road-350-W Yellow, 48","Seniors (64+)",3,2,1701
Bikes,"Touring Bikes","Touring-3000 Blue, 50","Seniors (64+)",3,2,742
Bikes,"Road Bikes","Road-250 Red, 44","Seniors (64+)",2,1,2443
